_,Id,CreatedDate,ProductLR__r,ProductLR__r.Url_Name__c,Petition_Type__c,Status,Petition_Details__r,Petition_Details__r.Content_Type__c,Petition_Details__r.Recommended_Category__c,Description,IsContentProfane__c,IsProfane__c,Category__c,Reason__c
[Case],500TV00000uDF7cYAG,2026-03-08T07:40:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,アルゼンチンバックブリーカー　中西学,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uD6QuYAK,2026-03-08T07:39:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,llcm13,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uEy92YAC,2026-03-09T01:33:25.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,JNJ_W2_Daidai,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uEn5wYAC,2026-03-09T00:00:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,george droid719,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uH7b9YAC,2026-03-09T15:14:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,yichiao,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uKJpaYAG,2026-03-10T13:22:20.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,乳红色粉头,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uBiOsYAK,2026-03-07T16:23:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,kaneki_ken69,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uH7jJYAS,2026-03-09T16:14:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,lowkirkenuinely Kirk,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uLGWJYA4,2026-03-10T18:03:24.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,ねこさんです_Twitch,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uJvLpYAK,2026-03-10T09:50:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,НамазПодФонк,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uJG7GYAW,2026-03-10T03:43:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,GEEWlLL,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uJKpEYAW,2026-03-10T03:34:21.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,SLKMNM07,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uCZDJYA4,2026-03-08T02:24:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,bbll4000jia,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uLWUTYA4,2026-03-10T18:12:23.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,叫我小王叭,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uCg0HYAS,2026-03-08T03:32:25.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,momonosuke1991,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
[Case],500TV00000uInOjYAK,2026-03-10T00:33:22.000+0000,[Product2],apex-legends,,Closed,[Petition_Details__c],PERSONANAME,No Violation,agog_drummer3,FALSE,TRUE,Offensive Content,CTD_AUTOCLOSE
