gamer_name,platform,expected_violation
ProGamer123,Steam,none
xX_420_NoScope_Xx,Discord,drugs_violence
SilentAssassin42,Gaming,none
KillAllFrom_XRegion,Twitch,hate_group
CoolDude88,Discord,none
Sexual_Predator,Stream,sexual
NinjaPlayer2022,PlayStation,none
SlurWord_IsMyName,Discord,slur
FunTimes_,Gaming,none
B0mb_The_M0sque,Twitch,violence
DanceOfJoy123,Stream,none
RapistKing,Discord,harassment_person
GamerGirl42,Steam,none
H8SpeakLord,Gaming,hate_group
Lv100_Wizard,Discord,none
PedoPhile88,Twitch,harassment_person
MountainClimber,PlayStation,none
WhitePower88,Discord,slur
TeamPlayer2024,Gaming,none
SuicideAI,Stream,harassment_person
CasualGamer99,Discord,none
F-Slur-Gaming,Twitch,slur
AdventureQuest,Steam,none
ViolentRapist,Discord,violence
ArtisticNinja,Gaming,none
